;;Estabelecimentos;;Taxa de Crescimento (2023-2025);Vinculos formais ;;Taxa de Crescimento (2023-2025)
261;Fabricação de Componentes Eletrônicos;11;10;-9,09%;141;146;4%
262;Fabricação de Equipamentos de Informática e Periféricos;23;22;-4,35%;1.056;920;-13%
263;Fabricação de Equipamentos de Comunicação;4;5;25,00%;132;109;-17%
264;Fabricação de Aparelhos de Recepção, Reprodução, Gravação e Amplificação de áudio e Vídeo;13;14;7,69%;397;348;-12%
265;"Fabricação de Aparelhos e Instrumentos de Medida, Teste e Controle; cronômetros e relógios";7;7;0,00%;158;166;5%
266;Fabricação de Aparelhos Eletromédicos e Eletroterapêuticos e Equipamentos de Irradiação;1;2;100,00%;19;24;26%
267;Fabricação de Equipamentos e Instrumentos ópticos, Fotográficos e Cinematográficos;1;2;100,00%;3;6;100%
268;Fabricação de Mídias Virgens, Magnéticas e ópticas;1;1;0,00%;6;4;-33%
271;Fabricação de Geradores, Transformadores e Motores Elétricos;24;31;29,17%;434;585;35%
272;Fabricação de Pilhas, Baterias e Acumuladores Elétricos;0;1;100,00%;0;7;100%
273;Fabricação de Equipamentos para Distribuição e Controle de Energia Elétrica;41;43;4,88%;352;493;40%
274;Fabricação de Lâmpadas e Outros Equipamentos de Iluminação;11;10;-9,09%;455;450;-1%
275;Fabricação de Eletrodomésticos;7;10;42,86%;4.527;5.869;30%
279;Fabricação de Equipamentos e Aparelhos Elétricos não Especificados Anteriormente;20;17;-15,00%;545;695;28%
281;Fabricação de Motores, Bombas, Compressores e Equipamentos de Transmissão;27;32;18,52%;558;938;68%
282;Fabricação de Máquinas e Equipamentos de Uso Geral;34;35;2,94%;427;491;15%
283;Fabricação de Tratores e de Máquinas e Equipamentos para a Agricultura e Pecuária;26;35;34,62%;260;337;30%
284;Fabricação de Máquinas-Ferramenta;8;11;37,50%;116;127;9%
285;Fabricação de Máquinas e Equipamentos de Uso na Extração Mineral e na Construção;8;8;0,00%;566;619;9%
286;Fabricação de Máquinas e Equipamentos de Uso Industrial Específico;31;37;19,35%;319;311;-3%
291;Fabricação de Automóveis, Camionetas e Utilitários;0;1;100,00%;0;2.102;100%
293;Fabricação de Cabines, Carrocerias e Reboques para Veículos Automotores;78;77;-1,28%;662;720;9%
294;Fabricação de Peças e Acessórios para Veículos Automotores;31;35;12,90%;271;233;-14%
295;Recondicionamento e Recuperação de Motores para Veículos Automotores;89;106;19,10%;437;489;12%
301;Construção de Embarcações;13;14;7,69%;281;961;242%
304;Fabricação de Aeronaves;1;0;-100,00%;6;0;-100%
309;Fabricação de Equipamentos de Transporte não Especificados Anteriormente;20;22;10,00%;114;160;40%
310;Fabricação de Móveis;698;767;9,89%;7.960;8.956;13%
321;Fabricação de Artigos de Joalheria, Bijuteria e Semelhantes;28;34;21,43%;90;108;20%
322;Fabricação de Instrumentos Musicais;1;2;100,00%;1;3;200%
323;Fabricação de Artefatos para Pesca e Esporte;4;7;75,00%;63;70;11%
324;Fabricação de Brinquedos e Jogos Recreativos;12;13;8,33%;56;50;-11%
325;Fabricação de Instrumentos e Materiais para Uso Médico e Odontológico e de Artigos ópticos;167;189;13,17%;1.110;1.193;7%
329;Fabricação de Produtos Diversos;371;393;5,93%;1.891;2.087;10%
331;Manutenção e Reparação de Máquinas e Equipamentos;1.066;1.152;8,07%;9.276;9.735;5%
332;Instalação de Máquinas e Equipamentos;224;275;22,77%;2.073;2.472;19%
351;Geração, Transmissão e Distribuição de Energia Elétrica;118;130;10,17%;6.813;7.770;14%
352;Produção e Distribuição de Combustíveis Gasosos por Redes Urbanas;10;11;10,00%;316;387;22%
353;Produção e Distribuição de Vapor, água Quente e Ar Condicionado;1;1;0,00%;65;68;5%
360;Captação, Tratamento e Distribuição de água;92;118;28,26%;7.482;8.297;11%
370;Esgoto e Atividades Relacionadas;32;32;0,00%;641;699;9%
381;Coleta de Resíduos;192;204;6,25%;12.284;11.502;-6%
382;Tratamento e Disposição de Resíduos;42;44;4,76%;2.579;3.084;20%
383;Recuperação de Materiais;138;163;18,12%;1.225;1.387;13%
390;Descontaminação e Outros Serviços de Gestão de Resíduos;4;5;25,00%;262;249;-5%
411;Incorporação de Empreendimentos Imobiliários;661;737;11,50%;7.526;7.992;6%
412;Construção de Edifícios;3.936;4.316;9,65%;57.352;66.195;15%
421;Construção de Rodovias, Ferrovias, Obras Urbanas e Obras de Arte Especiais;708;703;-0,71%;14.215;13.952;-2%
422;Obras de Infra-Estrutura para Energia Elétrica, Telecomunicações, água, Esgoto e Transporte por Dutos;337;414;22,85%;25.530;23.079;-10%
429;Construção de Outras Obras de Infra-Estrutura;759;742;-2,24%;17.986;17.682;-2%
431;Demolição e Preparação do Terreno;369;396;7,32%;7.365;6.837;-7%
432;Instalações Elétricas, Hidráulicas e Outras Instalações em Construções;1.111;1.324;19,17%;14.725;16.842;14%
433;Obras de Acabamento;611;692;13,26%;5.498;5.329;-3%
439;Outros Serviços Especializados para Construção;909;1.039;14,30%;13.224;12.069;-9%
;Total;22.871;25.184;10,11%;460.646;493.628;7%
